PassengerId|Survived|Pclass|Sex|Age|Kinsfolk
1|dead|3|male|middleage|withfolk
2|live|1|female|middleage|withfolk
3|live|3|female|middleage|withoutfolk
4|live|1|female|middleage|withfolk
5|dead|3|male|middleage|withoutfolk
6|dead|3|male||withoutfolk
7|dead|1|male|oldage|withoutfolk
8|dead|3|male|underage|withfolk
9|live|3|female|middleage|withfolk
10|live|2|female|underage|withfolk
11|live|3|female|underage|withfolk
12|live|1|female|oldage|withoutfolk
13|dead|3|male|middleage|withoutfolk
14|dead|3|male|middleage|withfolk
15|dead|3|female|underage|withoutfolk
16|live|2|female|oldage|withoutfolk
17|dead|3|male|underage|withfolk
18|live|2|male||withoutfolk
19|dead|3|female|middleage|withfolk
20|live|3|female||withoutfolk
21|dead|2|male|middleage|withoutfolk
22|live|2|male|middleage|withoutfolk
23|live|3|female|underage|withoutfolk
24|live|1|male|middleage|withoutfolk
25|dead|3|female|underage|withfolk
26|live|3|female|middleage|withfolk
27|dead|3|male||withoutfolk
28|dead|1|male|middleage|withfolk
29|live|3|female||withoutfolk
30|dead|3|male||withoutfolk
31|dead|1|male|middleage|withoutfolk
32|live|1|female||withfolk
33|live|3|female||withoutfolk
34|dead|2|male|oldage|withoutfolk
35|dead|1|male|middleage|withfolk
36|dead|1|male|middleage|withfolk
37|live|3|male||withoutfolk
38|dead|3|male|middleage|withoutfolk
39|dead|3|female|middleage|withfolk
40|live|3|female|underage|withfolk
41|dead|3|female|middleage|withfolk
42|dead|2|female|middleage|withfolk
43|dead|3|male||withoutfolk
44|live|2|female|underage|withfolk
45|live|3|female|middleage|withoutfolk
46|dead|3|male||withoutfolk
47|dead|3|male||withfolk
48|live|3|female||withoutfolk
49|dead|3|male||withfolk
50|dead|3|female|middleage|withfolk
51|dead|3|male|underage|withfolk
52|dead|3|male|middleage|withoutfolk
53|live|1|female|oldage|withfolk
54|live|2|female|middleage|withfolk
55|dead|1|male|oldage|withfolk
56|live|1|male||withoutfolk
57|live|2|female|middleage|withoutfolk
58|dead|3|male|middleage|withoutfolk
59|live|2|female|underage|withfolk
60|dead|3|male|underage|withfolk
61|dead|3|male|middleage|withoutfolk
62|live|1|female|middleage|withoutfolk
63|dead|1|male|oldage|withfolk
64|dead|3|male|underage|withfolk
65|dead|1|male||withoutfolk
66|live|3|male||withfolk
67|live|2|female|middleage|withoutfolk
68|dead|3|male|middleage|withoutfolk
69|live|3|female|underage|withfolk
70|dead|3|male|middleage|withfolk
71|dead|2|male|middleage|withoutfolk
72|dead|3|female|underage|withfolk
73|dead|2|male|middleage|withoutfolk
74|dead|3|male|middleage|withfolk
75|live|3|male|middleage|withoutfolk
76|dead|3|male|middleage|withoutfolk
77|dead|3|male||withoutfolk
78|dead|3|male||withoutfolk
79|live|2|male|underage|withfolk
80|live|3|female|middleage|withoutfolk
81|dead|3|male|middleage|withoutfolk
82|live|3|male|middleage|withoutfolk
83|live|3|female||withoutfolk
84|dead|1|male|middleage|withoutfolk
85|live|2|female|underage|withoutfolk
86|live|3|female|middleage|withfolk
87|dead|3|male|underage|withfolk
88|dead|3|male||withoutfolk
89|live|1|female|middleage|withfolk
90|dead|3|male|middleage|withoutfolk
91|dead|3|male|middleage|withoutfolk
92|dead|3|male|middleage|withoutfolk
93|dead|1|male|oldage|withfolk
94|dead|3|male|middleage|withfolk
95|dead|3|male|oldage|withoutfolk
96|dead|3|male||withoutfolk
97|dead|1|male|oldage|withoutfolk
98|live|1|male|middleage|withfolk
99|live|2|female|middleage|withfolk
100|dead|2|male|middleage|withfolk
101|dead|3|female|middleage|withoutfolk
102|dead|3|male||withoutfolk
103|dead|1|male|middleage|withfolk
104|dead|3|male|middleage|withoutfolk
105|dead|3|male|middleage|withfolk
106|dead|3|male|middleage|withoutfolk
107|live|3|female|middleage|withoutfolk
108|live|3|male||withoutfolk
109|dead|3|male|middleage|withoutfolk
110|live|3|female||withfolk
111|dead|1|male|oldage|withoutfolk
112|dead|3|female|underage|withfolk
113|dead|3|male|middleage|withoutfolk
114|dead|3|female|middleage|withfolk
115|dead|3|female|underage|withoutfolk
116|dead|3|male|middleage|withoutfolk
117|dead|3|male|oldage|withoutfolk
118|dead|2|male|middleage|withfolk
119|dead|1|male|middleage|withfolk
120|dead|3|female|underage|withfolk
121|dead|2|male|middleage|withfolk
122|dead|3|male||withoutfolk
123|dead|2|male|middleage|withfolk
124|live|2|female|middleage|withoutfolk
125|dead|1|male|oldage|withfolk
126|live|3|male|underage|withfolk
127|dead|3|male||withoutfolk
128|live|3|male|middleage|withoutfolk
129|live|3|female||withfolk
130|dead|3|male|oldage|withoutfolk
131|dead|3|male|middleage|withoutfolk
132|dead|3|male|middleage|withoutfolk
133|dead|3|female|oldage|withfolk
134|live|2|female|middleage|withfolk
135|dead|2|male|middleage|withoutfolk
136|dead|2|male|middleage|withoutfolk
137|live|1|female|middleage|withfolk
138|dead|1|male|middleage|withfolk
139|dead|3|male|underage|withoutfolk
140|dead|1|male|middleage|withoutfolk
141|dead|3|female||withfolk
142|live|3|female|middleage|withoutfolk
143|live|3|female|middleage|withfolk
144|dead|3|male|middleage|withoutfolk
145|dead|2|male|middleage|withoutfolk
146|dead|2|male|middleage|withfolk
147|live|3|male|middleage|withoutfolk
148|dead|3|female|underage|withfolk
149|dead|2|male|middleage|withfolk
150|dead|2|male|middleage|withoutfolk
151|dead|2|male|oldage|withoutfolk
152|live|1|female|middleage|withfolk
153|dead|3|male|oldage|withoutfolk
154|dead|3|male|middleage|withfolk
155|dead|3|male||withoutfolk
156|dead|1|male|oldage|withfolk
157|live|3|female|underage|withoutfolk
158|dead|3|male|middleage|withoutfolk
159|dead|3|male||withoutfolk
160|dead|3|male||withfolk
161|dead|3|male|middleage|withfolk
162|live|2|female|middleage|withoutfolk
163|dead|3|male|middleage|withoutfolk
164|dead|3|male|underage|withoutfolk
165|dead|3|male|underage|withfolk
166|live|3|male|underage|withfolk
167|live|1|female||withfolk
168|dead|3|female|oldage|withfolk
169|dead|1|male||withoutfolk
170|dead|3|male|middleage|withoutfolk
171|dead|1|male|oldage|withoutfolk
172|dead|3|male|underage|withfolk
173|live|3|female|underage|withfolk
174|dead|3|male|middleage|withoutfolk
175|dead|1|male|oldage|withoutfolk
176|dead|3|male|middleage|withfolk
177|dead|3|male||withfolk
178|dead|1|female|oldage|withoutfolk
179|dead|2|male|middleage|withoutfolk
180|dead|3|male|middleage|withoutfolk
181|dead|3|female||withfolk
182|dead|2|male||withoutfolk
183|dead|3|male|underage|withfolk
184|live|2|male|underage|withfolk
185|live|3|female|underage|withfolk
186|dead|1|male||withoutfolk
187|live|3|female||withfolk
188|live|1|male|oldage|withoutfolk
189|dead|3|male|middleage|withfolk
190|dead|3|male|middleage|withoutfolk
191|live|2|female|middleage|withoutfolk
192|dead|2|male|middleage|withoutfolk
193|live|3|female|middleage|withfolk
194|live|2|male|underage|withfolk
195|live|1|female|middleage|withoutfolk
196|live|1|female|oldage|withoutfolk
197|dead|3|male||withoutfolk
198|dead|3|male|middleage|withfolk
199|live|3|female||withoutfolk
200|dead|2|female|middleage|withoutfolk
201|dead|3|male|middleage|withoutfolk
202|dead|3|male||withfolk
203|dead|3|male|middleage|withoutfolk
204|dead|3|male|oldage|withoutfolk
205|live|3|male|middleage|withoutfolk
206|dead|3|female|underage|withfolk
207|dead|3|male|middleage|withfolk
208|live|3|male|middleage|withoutfolk
209|live|3|female|underage|withoutfolk
210|live|1|male|middleage|withoutfolk
211|dead|3|male|middleage|withoutfolk
212|live|2|female|middleage|withoutfolk
213|dead|3|male|middleage|withoutfolk
214|dead|2|male|middleage|withoutfolk
215|dead|3|male||withfolk
216|live|1|female|middleage|withfolk
217|live|3|female|middleage|withoutfolk
218|dead|2|male|middleage|withfolk
219|live|1|female|middleage|withoutfolk
220|dead|2|male|middleage|withoutfolk
221|live|3|male|underage|withoutfolk
222|dead|2|male|middleage|withoutfolk
223|dead|3|male|oldage|withoutfolk
224|dead|3|male||withoutfolk
225|live|1|male|middleage|withfolk
226|dead|3|male|middleage|withoutfolk
227|live|2|male|middleage|withoutfolk
228|dead|3|male|middleage|withoutfolk
229|dead|2|male|middleage|withoutfolk
230|dead|3|female||withfolk
231|live|1|female|middleage|withfolk
232|dead|3|male|middleage|withoutfolk
233|dead|2|male|oldage|withoutfolk
234|live|3|female|underage|withfolk
235|dead|2|male|middleage|withoutfolk
236|dead|3|female||withoutfolk
237|dead|2|male|middleage|withfolk
238|live|2|female|underage|withfolk
239|dead|2|male|middleage|withoutfolk
240|dead|2|male|middleage|withoutfolk
241|dead|3|female||withfolk
242|live|3|female||withfolk
243|dead|2|male|middleage|withoutfolk
244|dead|3|male|middleage|withoutfolk
245|dead|3|male|middleage|withoutfolk
246|dead|1|male|middleage|withfolk
247|dead|3|female|middleage|withoutfolk
248|live|2|female|middleage|withfolk
249|live|1|male|middleage|withfolk
250|dead|2|male|oldage|withfolk
251|dead|3|male||withoutfolk
252|dead|3|female|middleage|withfolk
253|dead|1|male|oldage|withoutfolk
254|dead|3|male|middleage|withfolk
255|dead|3|female|middleage|withfolk
256|live|3|female|middleage|withfolk
257|live|1|female||withoutfolk
258|live|1|female|middleage|withoutfolk
259|live|1|female|middleage|withoutfolk
260|live|2|female|oldage|withfolk
261|dead|3|male||withoutfolk
262|live|3|male|underage|withfolk
263|dead|1|male|oldage|withfolk
264|dead|1|male|middleage|withoutfolk
265|dead|3|female||withoutfolk
266|dead|2|male|middleage|withoutfolk
267|dead|3|male|underage|withfolk
268|live|3|male|middleage|withfolk
269|live|1|female|oldage|withfolk
270|live|1|female|middleage|withoutfolk
271|dead|1|male||withoutfolk
272|live|3|male|middleage|withoutfolk
273|live|2|female|middleage|withfolk
274|dead|1|male|middleage|withfolk
275|live|3|female||withoutfolk
276|live|1|female|oldage|withfolk
277|dead|3|female|oldage|withoutfolk
278|dead|2|male||withoutfolk
279|dead|3|male|underage|withfolk
280|live|3|female|middleage|withfolk
281|dead|3|male|oldage|withoutfolk
282|dead|3|male|middleage|withoutfolk
283|dead|3|male|underage|withoutfolk
284|live|3|male|middleage|withoutfolk
285|dead|1|male||withoutfolk
286|dead|3|male|middleage|withoutfolk
287|live|3|male|middleage|withoutfolk
288|dead|3|male|middleage|withoutfolk
289|live|2|male|middleage|withoutfolk
290|live|3|female|middleage|withoutfolk
291|live|1|female|middleage|withoutfolk
292|live|1|female|middleage|withfolk
293|dead|2|male|middleage|withoutfolk
294|dead|3|female|middleage|withoutfolk
295|dead|3|male|middleage|withoutfolk
296|dead|1|male||withoutfolk
297|dead|3|male|middleage|withoutfolk
298|dead|1|female|underage|withfolk
299|live|1|male||withoutfolk
300|live|1|female|oldage|withfolk
301|live|3|female||withoutfolk
302|live|3|male||withfolk
303|dead|3|male|middleage|withoutfolk
304|live|2|female||withoutfolk
305|dead|3|male||withoutfolk
306|live|1|male|underage|withfolk
307|live|1|female||withoutfolk
308|live|1|female|underage|withfolk
309|dead|2|male|middleage|withfolk
310|live|1|female|middleage|withoutfolk
311|live|1|female|middleage|withoutfolk
312|live|1|female|middleage|withfolk
313|dead|2|female|middleage|withfolk
314|dead|3|male|middleage|withoutfolk
315|dead|2|male|middleage|withfolk
316|live|3|female|middleage|withoutfolk
317|live|2|female|middleage|withfolk
318|dead|2|male|oldage|withoutfolk
319|live|1|female|middleage|withfolk
320|live|1|female|middleage|withfolk
321|dead|3|male|middleage|withoutfolk
322|dead|3|male|middleage|withoutfolk
323|live|2|female|middleage|withoutfolk
324|live|2|female|middleage|withfolk
325|dead|3|male||withfolk
326|live|1|female|middleage|withoutfolk
327|dead|3|male|oldage|withoutfolk
328|live|2|female|middleage|withoutfolk
329|live|3|female|middleage|withfolk
330|live|1|female|underage|withfolk
331|live|3|female||withfolk
332|dead|1|male|oldage|withoutfolk
333|dead|1|male|middleage|withfolk
334|dead|3|male|underage|withfolk
335|live|1|female||withfolk
336|dead|3|male||withoutfolk
337|dead|1|male|middleage|withfolk
338|live|1|female|middleage|withoutfolk
339|live|3|male|oldage|withoutfolk
340|dead|1|male|oldage|withoutfolk
341|live|2|male|underage|withfolk
342|live|1|female|middleage|withfolk
343|dead|2|male|middleage|withoutfolk
344|dead|2|male|middleage|withoutfolk
345|dead|2|male|middleage|withoutfolk
346|live|2|female|middleage|withoutfolk
347|live|2|female|middleage|withoutfolk
348|live|3|female||withfolk
349|live|3|male|underage|withfolk
350|dead|3|male|middleage|withoutfolk
351|dead|3|male|middleage|withoutfolk
352|dead|1|male||withoutfolk
353|dead|3|male|underage|withfolk
354|dead|3|male|middleage|withfolk
355|dead|3|male||withoutfolk
356|dead|3|male|middleage|withoutfolk
357|live|1|female|middleage|withfolk
358|dead|2|female|middleage|withoutfolk
359|live|3|female||withoutfolk
360|live|3|female||withoutfolk
361|dead|3|male|middleage|withfolk
362|dead|2|male|middleage|withfolk
363|dead|3|female|oldage|withfolk
364|dead|3|male|middleage|withoutfolk
365|dead|3|male||withfolk
366|dead|3|male|middleage|withoutfolk
367|live|1|female|oldage|withfolk
368|live|3|female||withoutfolk
369|live|3|female||withoutfolk
370|live|1|female|middleage|withoutfolk
371|live|1|male|middleage|withfolk
372|dead|3|male|middleage|withfolk
373|dead|3|male|middleage|withoutfolk
374|dead|1|male|middleage|withoutfolk
375|dead|3|female|underage|withfolk
376|live|1|female||withfolk
377|live|3|female|middleage|withoutfolk
378|dead|1|male|middleage|withfolk
379|dead|3|male|middleage|withoutfolk
380|dead|3|male|middleage|withoutfolk
381|live|1|female|middleage|withoutfolk
382|live|3|female|underage|withfolk
383|dead|3|male|middleage|withoutfolk
